,Unnamed: 0,area_type,location,size,society,total_sqft,bath,balcony,price
12379,12876,Super built-up  Area,Malleshwaram,2 BHK,Rintspa,1410,2.0,3.0,125.0
9052,9327,Built-up  Area,Jeevan bima nagar,2 BHK,,984,2.0,2.0,125.0
11355,11775,Super built-up  Area,Electronic City,1 BHK,,750,1.0,1.0,35.0
4834,4906,Super built-up  Area,D Group Employees Layout,4 BHK,,1200,4.0,1.0,230.0
4059,4112,Plot  Area,R.T. Nagar,6 BHK,,1500,6.0,,240.0
4756,4826,Super built-up  Area,Hulimavu,3 BHK,Vapasrk,3035,5.0,,271.0
8262,8477,Super built-up  Area,Hosa Road,1 BHK,Skume R,615 - 985,1.0,0.0,39.99
90,90,Built-up  Area,Sanjay nagar,2 BHK,Saenti ,1000,2.0,2.0,70.0
1987,1996,Built-up  Area,Chokkasandra,2 BHK,Siise R,850,2.0,1.0,33.0
470,470,Plot  Area,Vidyaranyapura,2 BHK,,1440,2.0,0.0,95.0
1326,1330,Super built-up  Area,Jakkur,4 BHK,SoineC ,3467.86,6.0,3.0,249.0
10020,10349,Built-up  Area,New Thippasandra,2 BHK,Saeraep,1020,2.0,1.0,70.0
7279,7449,Super built-up  Area,Bharathi Nagar,2 BHK,FoapeWa,1351,2.0,2.0,74.0
8675,8920,Super built-up  Area,Coconut Grove Layout,2 BHK,Srarkav,1156,2.0,2.0,46.0
10279,10621,Super built-up  Area,8th Phase JP Nagar,2 BHK,URncysi,1160,2.0,1.0,95.0
2117,2128,Super built-up  Area,Kanakpura Road,1 BHK,GolusLi,670 - 980,1.0,0.0,36.29
2937,2964,Super built-up  Area,Thigalarapalya,2 BHK,Prtanha,1418,2.0,2.0,104.0
888,888,Built-up  Area,Hosur Road,5 BHK,,3300,5.0,2.0,240.0
983,984,Super built-up  Area,7th Phase JP Nagar,2 BHK,Vasta C,1190,2.0,1.0,49.98
6932,7091,Super built-up  Area,Chandapura,3 BHK,SunceEs,1230,2.0,2.0,31.37
12134,12607,Super built-up  Area,Ramagondanahalli,3 BHK,Srdor S,1680,2.0,,68.0
9666,9977,Super built-up  Area,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,40.0
11091,11491,Super built-up  Area,CV Raman Nagar,3 BHK,,1400,2.0,2.0,78.0
10997,11391,Super built-up  Area,Somasundara Palya,2 BHK,ManceEl,1185,2.0,2.0,75.0
2925,2952,Super built-up  Area,Sarakki Nagar,3 BHK,Sowerew,2500,4.0,2.0,325.0
8518,8754,Super built-up  Area,Kannamangala,3 BHK,Sonue A,1865,3.0,1.0,139.0
3214,3250,Carpet  Area,Uttarahalli,3 BHK,Baveles,1700,3.0,2.0,88.0
5884,6000,Super built-up  Area, Devarabeesana Halli,3 BHK,Sorisa ,1670,3.0,2.0,160.0
2341,2355,Plot  Area,1st Block Jayanagar,4 BHK,,2400,4.0,2.0,450.0
9189,9474,Plot  Area,Koramangala,5 BHK,,4000,5.0,0.0,800.0
8602,8846,Super built-up  Area,Hennur Road,3 BHK,SaireSa,1832,3.0,1.0,116.0
9713,10027,Super built-up  Area,8th Phase JP Nagar,2 BHK,HMityld,1513,2.0,3.0,62.0
11395,11816,Super built-up  Area,Yelahanka,4 BHK,,3175,4.0,1.0,156.0
10096,10429,Plot  Area,Cunningham Road,4 BHK,,7500,6.0,2.0,1800.0
8045,8249,Super built-up  Area,Poorna Pragna Layout,3 BHK,,1270,2.0,3.0,50.79
627,627,Built-up  Area,Kundalahalli,2 BHK,,1030,2.0,2.0,49.0
8589,8830,Super built-up  Area,Sarjapur,2 BHK,AsineSu,535,1.0,1.0,20.0
4947,5026,Built-up  Area,Hennur Road,3 BHK,Maity W,1445,2.0,1.0,105.0
5080,5164,Plot  Area,Nagarbhavi,4 BHK,,1250,3.0,0.0,175.0
4244,4299,Built-up  Area,Magadi Road,1 BHK,,440,1.0,0.0,35.0
7545,7726,Plot  Area,Kanakpura Road,1 BHK,,1.26Acres,1.0,0.0,125.0
8304,8523,Built-up  Area,Kudlu Gate,2 BHK,Wharl P,812,2.0,1.0,38.25
4765,4835,Super built-up  Area,Yeshwanthpur Industrial Suburb,3 BHK,,2100,3.0,2.0,240.0
1601,1608,Super built-up  Area,Bommanahalli,1 BHK,Prtusth,520,1.0,0.0,19.5
12283,12769,Super built-up  Area,Haralur Road,3 BHK,Ozensve,1255,3.0,1.0,90.0
1269,1272,Super built-up  Area,Pai Layout,2 BHK,,1006,2.0,2.0,35.0
128,128,Super built-up  Area,Hormavu,2 BHK,SyidaCr,1500,2.0,1.0,78.0
10226,10565,Super built-up  Area,Byrasandra,2 BHK,Mancyi ,1140,2.0,3.0,60.0
8902,9167,Super built-up  Area,Bommasandra,3 BHK,SSestth,1365,3.0,1.0,52.81
1711,1719,Super built-up  Area,Ardendale,4 BHK,AWharde,2422,4.0,2.0,160.0
4182,4237,Carpet  Area,Electronic City Phase II,3 BHK,MJtroty,993,2.0,2.0,50.0
7299,7470,Super built-up  Area,Bellandur,2 BHK,DSpazTo,1088,2.0,2.0,48.0
12673,13194,Super built-up  Area,Sahakara Nagar,2 BHK,Saniai ,1291,2.0,2.0,72.3
4235,4290,Super built-up  Area,Hormavu,2 BHK,NStusD ,1153,2.0,1.0,65.0
6995,7154,Plot  Area,Chandapura,2 BHK,,1200,2.0,1.0,36.0
8368,8592,Super built-up  Area,Sadashiva Nagar,4 BHK,,7400,5.0,,1850.0
2398,2413,Super built-up  Area,Thanisandra,3 BHK,Soitya ,1697,3.0,2.0,114.0
11436,11860,Super built-up  Area,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,128.0
9422,9722,Plot  Area,BEML Layout,2 BHK,,2400,2.0,1.0,228.0
11966,12429,Super built-up  Area,Electronic City,2 BHK,Palleon,995,2.0,1.0,48.0
12214,12696,Super built-up  Area,Tirumanahalli,2 BHK,AmiewLa,1260,2.0,1.0,55.0
8557,8793,Built-up  Area,5th Phase JP Nagar,3 BHK,,1550,3.0,3.0,75.0
9014,9284,Plot  Area,Whitefield,3 BHK,Anlthmo,1200,3.0,1.0,56.72
10761,11140,Super built-up  Area,Singasandra,2 BHK,SRensar,1416,2.0,2.0,67.0
1186,1189,Built-up  Area,Cooke Town,1 BHK,,565,1.0,1.0,35.0
8991,9259,Built-up  Area,Vidyaranyapura,2 BHK,Saata S,1200,2.0,2.0,52.0
12570,13080,Super built-up  Area,Billekahalli,3 BHK,,1290,3.0,3.0,62.0
12527,13031,Super built-up  Area,Ramanashree Enclave,2 BHK,,1075,2.0,2.0,58.0
12430,12930,Super built-up  Area,8th Phase JP Nagar,3 BHK,MBodsen,1269,2.0,3.0,50.75
1977,1986,Super built-up  Area,Banashankari,3 BHK,Bregae ,1800,3.0,2.0,115.0
5314,5403,Plot  Area,4th T block Jayanagar,4 BHK,,2080,4.0,2.0,440.0
12647,13168,Plot  Area,Ulsoor,2 BHK,,1160,2.0,1.0,130.0
4247,4302,Super built-up  Area,Gopalkrishna Nagar,3 BHK,MJarlPe,1530,2.0,1.0,97.0
10109,10443,Super built-up  Area,Hennur Road,3 BHK,SaireSa,1904,3.0,2.0,129.0
10131,10465,Super built-up  Area,Hoskote,2 BHK,Deiveer,945,2.0,1.0,35.0
11921,12381,Super built-up  Area,Whitefield,2 BHK,Sonviik,1140,2.0,3.0,55.0
915,915,Super built-up  Area,Mahadevpura,2 BHK,,1250,2.0,3.0,52.0
1305,1309,Super built-up  Area,Hoodi,3 BHK,Keers S,1606,3.0,3.0,89.55
1096,1097,Built-up  Area,Jalahalli,5 BHK,BrardCo,3100,4.0,,265.0
3049,3081,Super built-up  Area,Jakkur,2 BHK,HRaniIb,1300,2.0,1.0,85.0
8854,9116,Super built-up  Area,Doctors Layout,3 BHK,Deonsxp,1450,3.0,2.0,75.0
6653,6802,Super built-up  Area,Whitefield,2 BHK,Goted U,1485,2.0,1.0,96.51
12177,12656,Super built-up  Area,Koramangala,2 BHK,Gencysi,1260,2.0,1.0,100.0
1273,1276,Built-up  Area,Kannamangala,2 BHK,VBownre,957,2.0,1.0,56.0
5698,5805,Plot  Area,6th block Koramangala,5 BHK,,1200,5.0,2.0,300.0
6945,7104,Plot  Area,Hebbal,8 BHK,,6000,8.0,0.0,220.0
11663,12104,Built-up  Area,Thanisandra,4 BHK,,3671,4.0,1.0,220.0
10372,10722,Super built-up  Area,Bannerghatta,2 BHK,,1070,2.0,1.0,87.0
2796,2822,Super built-up  Area,Doddathoguru,2 BHK,Arensh ,1030,2.0,2.0,42.0
6797,6951,Plot  Area,Banashankari Stage III,5 BHK,,1200,5.0,0.0,180.0
1398,1403,Super built-up  Area,Judicial Layout,3 BHK,PrarePa,1300,3.0,1.0,64.0
6615,6764,Plot  Area,Chikka Gowdanapalya.,6 BHK,,850,6.0,2.0,78.0
3358,3397,Plot  Area,NS Palya,6 BHK,,1200,7.0,,170.0
7755,7940,Plot  Area,Whitefield,3 BHK,,1200,3.0,1.0,67.77
183,183,Super built-up  Area,Vijayanagar,3 BHK,Saahaat,1704,3.0,2.0,110.0
2959,2988,Super built-up  Area,Varthur,2 BHK,Hirio L,1091,2.0,1.0,32.0
4462,4524,Super built-up  Area,Ramagondanahalli,2 BHK,ViistLa,1253,2.0,1.0,52.66
9275,9565,Super built-up  Area,Varthur,3 BHK,CaestSr,1520,2.0,2.0,60.0
11027,11423,Super built-up  Area,Whitefield,2 BHK,,1390,2.0,1.0,72.0
3563,3602,Super built-up  Area,Kasavanhalli,2 BHK,,1125,2.0,1.0,61.2
10467,10825,Super built-up  Area,Bisuvanahalli,2 BHK,Prityel,850,2.0,1.0,27.0
11880,12338,Plot  Area,Electronic City,3 BHK,EmrchAn,1200,3.0,2.0,150.0
6513,6657,Built-up  Area,Attibele,3 BHK,,2400,3.0,3.0,120.0
7887,8080,Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1196,2.0,2.0,40.54
4567,4632,Super built-up  Area,Gopalapura,4 BHK,Sothadr,3179,5.0,3.0,351.0
9803,10120,Super built-up  Area,Shivaji Nagar,3 BHK,FBazaah,1300,3.0,2.0,170.0
6603,6751,Super built-up  Area,Seegehalli,3 BHK,Niowshi,1639,3.0,3.0,120.0
10363,10713,Super built-up  Area,Ullal Uppanagar,6 BHK,,2400,5.0,2.0,75.0
2656,2677,Built-up  Area,Bommasandra Industrial Area,3 BHK,,1400,2.0,1.0,40.44
7975,8174,Super built-up  Area,Hennur Road,3 BHK,SaireSa,2041,3.0,3.0,128.0
10609,10977,Built-up  Area,"Electronic city phase 1, ",2 BHK,,1150,2.0,1.0,39.0
4305,4363,Super built-up  Area,Whitefield,3 BHK,Mithmn ,1700,3.0,1.0,140.0
1961,1970,Super built-up  Area,Bhoganhalli,3 BHK,Rosha I,1718,3.0,2.0,90.2
4992,5073,Built-up  Area,BTM 2nd Stage,2 BHK,MaeamSu,1280,2.0,2.0,80.0
4891,4969,Super built-up  Area,Nyanappana Halli,2 BHK,Salms G,1065,2.0,1.0,58.0
6138,6267,Super built-up  Area,Mysore Road,2 BHK,,1003,2.0,1.0,43.0
5815,5928,Super built-up  Area,Kammasandra,3 BHK,DSOakil,1365,2.0,1.0,34.13
5869,5984,Built-up  Area,Rahat Bagh,4 BHK,Saaintv,3900,5.0,1.0,550.0
9244,9533,Super built-up  Area,Yeshwanthpur,3 BHK,IBityin,1384,2.0,2.0,76.18
6395,6537,Super built-up  Area,Hegde Nagar,3 BHK,Golmsn ,1835,3.0,3.0,88.0
12122,12595,Super built-up  Area,Chikbasavanapura,2 BHK,SatonLi,1220,2.0,2.0,60.0
6226,6360,Plot  Area,Vidyaranyapura,4 BHK,,750,4.0,0.0,88.0
9642,9953,Super built-up  Area,Vidyaranyapura,2 BHK,,1188,2.0,1.0,50.0
12756,13280,Built-up  Area,Sarjapur,3 BHK,,1425,3.0,2.0,57.0
9075,9351,Plot  Area,Veer Sandra,4 BHK,Thessie,3000,4.0,3.0,264.0
1251,1254,Super built-up  Area,Raja Rajeshwari Nagar,1 BHK,,500,1.0,1.0,25.0
3176,3212,Super built-up  Area,Yelahanka,2 BHK,,1026,2.0,1.0,41.0
5072,5156,Built-up  Area,Hebbal,3 BHK,Cevely ,1269,2.0,1.0,73.0
3359,3398,Built-up  Area,Challaghatta,3 BHK,ShanaSp,1639,3.0,3.0,123.0
8803,9059,Super built-up  Area,Bellandur,2 BHK,Krala D,1410,3.0,2.0,92.0
8204,8417,Super built-up  Area,Hongasandra,2 BHK,Srrtsu ,1180,2.0,1.0,39.0
8583,8822,Plot  Area,Bande Nallasandra,3 BHK,Ceureld,2400,4.0,1.0,130.0
9921,10248,Super built-up  Area,Sarjapur  Road,2 BHK,PualeSk,1350,2.0,1.0,85.0
9367,9659,Built-up  Area,Bhoganhalli,4 BHK,Pride S,2439,5.0,2.0,170.0
7466,7645,Super built-up  Area,Varthur,2 BHK,HioraTr,1085,2.0,1.0,45.0
11488,11918,Built-up  Area,Kanakpura Road,3 BHK,SoestSu,2000,3.0,3.0,105.0
3289,3328,Plot  Area,TC Palaya,3 BHK,,1500,2.0,1.0,120.0
11532,11964,Plot  Area,Varanasi,5 BHK,,1200,4.0,1.0,99.0
7747,7932,Super built-up  Area,Sarjapur,1 BHK,SNityVe,650,1.0,2.0,19.87
7411,7589,Plot  Area,Poorna Pragna Layout,7 BHK,,2400,6.0,,450.0
7538,7719,Plot  Area,Indira Nagar,3 BHK,,1440,3.0,1.0,275.0
11165,11571,Super built-up  Area,Old Madras Road,3 BHK,Saesttt,1530,3.0,2.0,76.34
3190,3226,Super built-up  Area,Sarjapura - Attibele Road,2 BHK,,829,2.0,1.0,22.8
1573,1580,Plot  Area,Tavarekere,4 BHK,,1200,4.0,2.0,72.0
9618,9929,Plot  Area,Medahalli,5 BHK,,800,5.0,1.0,95.0
1051,1052,Super built-up  Area,HSR Layout,2 BHK,NRosete,1140,2.0,2.0,46.0
4069,4122,Super built-up  Area,Tumkur Road,2 BHK,Coowsri,1076 - 1199,2.0,0.0,48.905
10051,10381,Super built-up  Area,Kammasandra,3 BHK,DSOakil,1276,2.0,1.0,31.9
3218,3254,Built-up  Area,Akshaya Nagar,2 BHK,,1280,2.0,1.0,60.0
8642,8887,Built-up  Area,Singapura Village,2 BHK,Juoryma,850,2.0,0.0,34.0
272,272,Built-up  Area,Kengeri Satellite Town,2 BHK,,883,2.0,1.0,45.0
2042,2052,Super built-up  Area,R.T. Nagar,3 BHK,,1560,3.0,2.0,85.0
4763,4833,Built-up  Area,Bannerghatta Road,2 BHK,PrliaRe,1220,2.0,1.0,80.0
8159,8370,Plot  Area,Horamavu Agara,5 BHK,,2400,3.0,3.0,80.0
1874,1883,Super built-up  Area,Sector 2 HSR Layout,3 BHK,NCdgerj,1450,2.0,2.0,135.0
10618,10986,Super built-up  Area,Kanakpura Road,3 BHK,PrarePa,1300,3.0,1.0,64.0
1086,1087,Plot  Area,Manjunath Nagar,4 BHK,,1200,4.0,0.0,135.0
1473,1480,Plot  Area,Brigade Road,2 BHK,,1420,1.0,0.0,220.0
7282,7452,Built-up  Area,Whitefield,4 BHK,Prrry M,3589,5.0,0.0,400.0
9216,9505,Super built-up  Area,Old Airport Road,4 BHK,Jaades ,2658,5.0,3.0,189.0
8581,8820,Built-up  Area,Chikkathoguru,2 BHK,Srvasi ,1045,2.0,2.0,42.0
9761,10076,Plot  Area,Banjara Layout,3 BHK,,2500,4.0,0.0,140.0
2186,2198,Built-up  Area,Hulimavu,4 BHK,,1200,4.0,0.0,75.0
11318,11734,Super built-up  Area,CV Raman Nagar,3 BHK,Pu270a ,1980,4.0,2.0,166.0
4322,4380,Built-up  Area,Whitefield,4 BHK,,4827,4.0,3.0,400.0
9657,9968,Super built-up  Area,Whitefield,2 BHK,SMuilan,1187,2.0,1.0,38.0
10826,11207,Super built-up  Area,Bellandur,2 BHK,Krine O,1200,2.0,1.0,62.0
5831,5944,Super built-up  Area,Kanakpura Road,3 BHK,JRrnauv,1450,3.0,3.0,62.4
10383,10733,Super built-up  Area,Basavangudi,3 BHK,,1850,3.0,2.0,150.0
498,498,Super built-up  Area,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,36.0
8298,8516,Built-up  Area,Electronic City,3 BHK,KBityo ,1050,2.0,1.0,39.0
9099,9376,Built-up  Area,Ambalipura,3 BHK,,1817,3.0,3.0,102.0
4709,4778,Super built-up  Area,Rajaji Nagar,2 BHK,ProdsWe,1263,2.0,0.0,107.0
8722,8969,Super built-up  Area,Bhuvaneshwari Nagar,2 BHK,,1000,2.0,2.0,60.0
10411,10762,Super built-up  Area,Bhoganhalli,3 BHK,Prsun S,1707,3.0,2.0,115.0
4485,4549,Super built-up  Area,BTM 2nd Stage,3 BHK,,1250,3.0,1.0,50.0
11073,11472,Built-up  Area,Haralur Road,4 BHK,Oznzaes,4694,5.0,,375.0
3478,3517,Super built-up  Area,Hennur,2 BHK,,1255,2.0,1.0,58.0
11662,12103,Super built-up  Area,Thanisandra,3 BHK,Soitya ,1806,6.0,2.0,116.0
3924,3976,Super built-up  Area,Chikkathoguru,1 BHK,,1500,1.0,1.0,19.5
1748,1756,Plot  Area,Whitefield,4 BHK,,4000,4.0,2.0,330.0
732,732,Super built-up  Area,Panathur,3 BHK,Prcesvy,1688,3.0,1.0,118.0
2553,2571,Super built-up  Area,Bhoganhalli,2 BHK,Rosha I,1447,2.0,1.0,75.97
2463,2480,Super built-up  Area,Kanakpura Road,3 BHK,PuandHi,1660,3.0,3.0,75.0
8113,8321,Built-up  Area,Electronic City Phase II,4 BHK,Rie 2 P,1900,3.0,1.0,97.0
9470,9772,Super built-up  Area,Cooke Town,3 BHK,Sagalhi,2560,4.0,,310.0
12261,12747,Super built-up  Area,Kanakpura Road,2 BHK,PrarePa,700,2.0,2.0,36.0
7850,8043,Super built-up  Area,Kalena Agrahara,2 BHK,,1200,2.0,2.0,45.0
2662,2683,Super built-up  Area,KR Puram,2 BHK,Saavem ,1021,2.0,1.0,48.0
8558,8794,Super built-up  Area,7th Block Jayanagar,3 BHK,Jaitira,1707,3.0,2.0,171.0
9039,9312,Super built-up  Area,Anekal,1 BHK,,456,1.0,1.0,15.0
8205,8418,Built-up  Area,Electronic City,2 BHK,,1090,2.0,1.0,31.48
3113,3146,Super built-up  Area,Murugeshpalya,3 BHK,PintsAp,1550,3.0,2.0,74.0
3303,3342,Plot  Area,Bhuvaneshwari Nagar,3 BHK,,440,3.0,0.0,50.0
6250,6386,Super built-up  Area,Whitefield,2 BHK,Somns T,981 - 1249,2.0,0.0,34.555
1344,1348,Super built-up  Area,Kathriguppe,3 BHK,,1650,3.0,2.0,125.0
11247,11659,Super built-up  Area,Bommasandra,3 BHK,SSestth,1365,3.0,1.0,52.82
8282,8498,Super built-up  Area,Karuna Nagar,2 BHK,AjityIn,1057,2.0,1.0,65.0
1690,1698,Super built-up  Area,Sarjapur  Road,2 BHK,Maaveal,1300,2.0,2.0,60.0
71,71,Super built-up  Area,Begur Road,2 BHK,Pruthg ,1358,2.0,1.0,80.58
12006,12472,Super built-up  Area,Electronic City,2 BHK,Prarkun,1342,2.0,1.0,90.0
5048,5132,Super built-up  Area,Uttarahalli,2 BHK,Ihnueut,1235,2.0,3.0,90.0
5112,5198,Super built-up  Area,Channasandra,2 BHK,Unm 2El,1104,2.0,1.0,35.5
8618,8862,Super built-up  Area,Gubbalala,2 BHK,MauilTr,1475,2.0,2.0,80.0
3308,3347,Super built-up  Area,Kanakpura Road,3 BHK,,1100,3.0,2.0,53.0
1504,1511,Super built-up  Area,Dommasandra,2 BHK,Asene S,1200,2.0,2.0,50.0
11703,12148,Super built-up  Area,Electronics City Phase 1,3 BHK,,1330,2.0,2.0,44.0
1806,1815,Plot  Area,Anantapura,3 BHK,Edleyil,1650,4.0,,160.0
3871,3920,Plot  Area,Singena Agrahara,3 BHK,CoiewSy,1500,3.0,2.0,149.0
1288,1292,Super built-up  Area,Channasandra,2 BHK,Unm 2El,1009,2.0,1.0,38.34
3791,3837,Super built-up  Area,Kammasandra,3 BHK,DSOakil,1385,2.0,2.0,34.63
5217,5304,Built-up  Area,Poorna Pragna Layout,3 BHK,,1400,2.0,1.0,240.0
10422,10774,Built-up  Area,Ramanjaneyanagar,4 BHK,,2200,3.0,1.0,225.0
12176,12655,Super built-up  Area,Kadugodi,2 BHK,Alestrb,1314,2.0,3.0,80.0
1067,1068,Plot  Area,2nd Stage Nagarbhavi,6 BHK,,2400,8.0,3.0,450.0
8922,9187,Built-up  Area,Electronic City,2 BHK,Itelaa ,1020,2.0,1.0,29.45
12140,12613,Super built-up  Area,Vidyaranyapura,2 BHK,Invenai,1200,2.0,2.0,60.5
1717,1725,Super built-up  Area,Brookefield,3 BHK,Gotaten,1595,3.0,3.0,88.0
2696,2718,Plot  Area,Yelahanka,3 BHK,Edreelm,1550,3.0,1.0,120.0
6451,6595,Built-up  Area,Sadanand Nagar,3 BHK,,2700,3.0,3.0,200.0
1848,1857,Super built-up  Area,Basavangudi,3 BHK,,2337,4.0,3.0,292.0
4512,4576,Plot  Area,Kumaraswami Layout,6 BHK,,610,4.0,,95.0
9527,9831,Plot  Area,Koramangala,4 BHK,,1410,2.0,0.0,280.0
11812,12266,Super built-up  Area,Horamavu Agara,2 BHK,,1213,2.0,2.0,38.1
2431,2448,Super built-up  Area,Begur Road,2 BHK,,1160,2.0,2.0,40.59
8985,9252,Built-up  Area,Kadabagere,2 BHK,Jahipa ,565,2.0,1.0,15.0
4660,4727,Super built-up  Area,Glass Factory Layout,3 BHK,VMlet C,1450,3.0,3.0,68.0
6622,6771,Super built-up  Area,Whitefield,3 BHK,Haestt ,2901,4.0,2.0,190.0
3435,3474,Super built-up  Area,Hennur,2 BHK,Adity T,1231,2.0,2.0,48.0
8664,8909,Plot  Area,Samethanahalli,3 BHK,,2100,3.0,0.0,70.0
7347,7521,Super built-up  Area,6th Phase JP Nagar,2 BHK,NCierar,1170,2.0,2.0,120.0
11993,12459,Plot  Area,Ramamurthy Nagar,4 BHK,,886,4.0,2.0,120.0
142,142,Super built-up  Area,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0
8982,9249,Plot  Area,Kothnur Narayanapura,6 BHK,,1200,6.0,,125.0
5586,5688,Super built-up  Area,Yelahanka,3 BHK,Miitat ,2145,3.0,3.0,125.0
11208,11618,Super built-up  Area,Dasarahalli,2 BHK,Syonyph,1220,2.0,2.0,62.0
6992,7151,Super built-up  Area,Thanisandra,2 BHK,NRtesnd,1200,2.0,1.0,53.5
9332,9622,Super built-up  Area,Hennur Road,3 BHK,Puachal,1679,3.0,2.0,94.86
8629,8873,Super built-up  Area,Carmelaram,3 BHK,DSensn ,1660 - 1805,3.0,0.0,91.855
6804,6958,Super built-up  Area,ITI Layout,2 BHK,Soarkge,1333,2.0,2.0,77.27
6749,6900,Built-up  Area,Narayanapura,2 BHK,Shsom B,1153,2.0,2.0,45.0
6100,6229,Super built-up  Area,Bannerghatta Road,3 BHK,PrarePa,1365 - 1700,3.0,0.0,84.29
5290,5379,Super built-up  Area,Yelahanka,2 BHK,Goues A,1033,2.0,1.0,52.58
10412,10763,Plot  Area,AECS LAYOUT A-BLOCK Singasandra,5 BHK,,1200,5.0,1.0,225.0
3409,3448,Super built-up  Area,Kothanur,3 BHK,,1460,3.0,3.0,71.0
1117,1119,Super built-up  Area,Electronic City,2 BHK,GoontLa,1265,2.0,0.0,56.93
8278,8493,Super built-up  Area,Hoskote,3 BHK,Thiced ,1695,3.0,3.0,50.0
1756,1765,Super built-up  Area,Binny Pete,4 BHK,Shestlo,2695 - 2940,,,204.0
497,497,Built-up  Area,Kereguddadahalli,2 BHK,,950,2.0,1.0,32.0
6751,6902,Built-up  Area,Vidyaranyapura,3 BHK,Suent A,1560,3.0,3.0,68.0
9224,9513,Built-up  Area,Mahalakshmi Puram,6 BHK,,3000,6.0,3.0,300.0
870,870,Built-up  Area,Uttarahalli,2 BHK,,1345,2.0,1.0,67.0
3357,3396,Super built-up  Area,Kanakpura Road,2 BHK,Soazak ,1296,2.0,3.0,89.06
912,912,Super built-up  Area,Whitefield,3 BHK,UKe 2nz,2225,2.0,1.0,125.0
7678,7863,Super built-up  Area,Gottigere,2 BHK,,1200,2.0,3.0,40.0
721,721,Built-up  Area,Hulimavu,3 BHK,,1823,3.0,2.0,100.0
2805,2831,Super built-up  Area,Channasandra Layout,3 BHK,Aconyit,1535,3.0,1.0,55.0
12715,13237,Super built-up  Area,Malleshpalya,2 BHK,SoncyRe,1225,2.0,2.0,52.0
886,886,Super built-up  Area,Chandapura,1 BHK,SuVue S,520 - 645,1.0,0.0,15.135
12281,12767,Super built-up  Area,Yelahanka,2 BHK,Prensya,1362,2.0,2.0,66.0
9403,9699,Super built-up  Area,Bannerghatta,4 BHK,Mamespa,1791 - 4000,,,246.0
10620,10988,Super built-up  Area,6th Phase JP Nagar,3 BHK,NCierar,1515,2.0,2.0,135.0
9809,10127,Plot  Area,Sarjapur,4 BHK,Prldsum,4201,4.0,3.0,435.0
1520,1527,Super built-up  Area,Thigalarapalya,2 BHK,,1297,2.0,2.0,112.0
7396,7572,Built-up  Area,NRI Layout,4 BHK,,2150,4.0,2.0,115.0
8102,8310,Plot  Area,Suragajakkanahalli,3 BHK,PrhyaK ,1200,3.0,2.0,72.0
11113,11515,Super built-up  Area,BTM 1st Stage,3 BHK,,1717,3.0,2.0,200.0
2746,2771,Built-up  Area,Bommanahalli,2 BHK,,1090,3.0,2.0,44.0
9379,9672,Super built-up  Area,Whitefield,2 BHK,Bhentne,1100,2.0,1.0,46.5
3545,3584,Built-up  Area,Whitefield,2 BHK,,1173,2.0,1.0,60.0
314,314,Super built-up  Area,Malleshpalya,2 BHK,,1140,2.0,2.0,46.5
1799,1808,Super built-up  Area,Sector 2 HSR Layout,2 BHK,Putus L,1296,2.0,1.0,75.0
327,327,Super built-up  Area,Manayata Tech Park,2 BHK,,1200,2.0,2.0,55.0
3757,3802,Super built-up  Area,Sarjapur  Road,2 BHK,Usquaya,1145,2.0,2.0,49.5
12055,12522,Super built-up  Area,Kanakpura Road,3 BHK,Puestol,1843,3.0,2.0,96.2
4204,4259,Built-up  Area,EPIP Zone,2 BHK,ValiaCa,1125,2.0,1.0,65.0
5850,5964,Super built-up  Area,Thanisandra,2 BHK,Bhmesy ,1276,2.0,2.0,75.0
6129,6258,Super built-up  Area,Bommasandra,2 BHK,SSestth,920,2.0,1.0,37.2
5447,5544,Super built-up  Area,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,30.0
3129,3163,Plot  Area,Outer Ring Road East,4 BHK,PrstaTe,4051,4.0,3.0,345.0
9901,10226,Plot  Area,Marasandra,4 BHK,,5000,5.0,3.0,300.0
7440,7619,Built-up  Area,Meenakunte,3 BHK,Sreat R,3200,3.0,0.0,260.0
1996,2005,Super built-up  Area,Haralur Road,2 BHK,Rencyed,1455,2.0,1.0,145.0
9513,9817,Super built-up  Area,Indira Nagar,4 BHK,,2800,4.0,3.0,365.0
3968,4020,Super built-up  Area,Ashwathnagar,2 BHK,GMentAp,936,2.0,2.0,43.0
11466,11894,Plot  Area,Sarjapur,3 BHK,PulokPu,1500,5.0,2.0,95.0
336,336,Built-up  Area,Uttarahalli,2 BHK,Sungspr,1020,2.0,2.0,45.0
10124,10458,Super built-up  Area,Sarjapur  Road,2 BHK,Shthi S,970,2.0,1.0,36.0
8877,9142,Super built-up  Area,Cooke Town,2 BHK,,1310,2.0,2.0,111.0
2985,3014,Built-up  Area,Electronic City,3 BHK,,1220,2.0,2.0,35.24
4620,4686,Super built-up  Area,Hebbal,3 BHK,Raard B,1645,3.0,2.0,117.0
6531,6675,Plot  Area,1st Block HBR Layout,5 BHK,,2500,6.0,3.0,500.0
