,area_type,size,total_sqft,bath,balcony,price
6172,Built-up  Area,3 BHK,1667.0,3.0,2.0,92.0
6173,Super built-up  Area,2 BHK,934.0,2.0,2.0,55.0
6174,Built-up  Area,3 BHK,,3.0,1.0,69.34
6175,Super built-up  Area,3 BHK,1620.0,2.0,1.0,76.0
6176,Super built-up  Area,2 BHK,1070.0,2.0,1.0,47.0
6177,Built-up  Area,5 BHK,3600.0,5.0,3.0,180.0
6178,Super built-up  Area,3 BHK,1280.0,2.0,2.0,60.0
6179,Super built-up  Area,2 BHK,1400.0,2.0,2.0,60.0
6180,Plot  Area,7 BHK,1200.0,8.0,,180.0
6181,Built-up  Area,2 BHK,1330.0,2.0,1.0,64.0
6182,Super built-up  Area,3 BHK,1611.0,2.0,2.0,48.33
6183,Super built-up  Area,3 BHK,1405.0,3.0,2.0,58.0
6184,Super built-up  Area,3 BHK,1515.0,3.0,3.0,90.0
6185,Super built-up  Area,3 BHK,1830.0,4.0,2.0,150.0
6186,Built-up  Area,3 BHK,1710.0,3.0,0.0,60.0
6187,Built-up  Area,2 BHK,935.0,2.0,1.0,51.5
6188,Super built-up  Area,3 BHK,2197.0,3.0,2.0,136.0
6189,Plot  Area,4 BHK,600.0,4.0,0.0,65.0
6190,Super built-up  Area,3 BHK,1678.0,3.0,,92.13
6191,Built-up  Area,3 BHK,1410.0,2.0,0.0,80.0
6192,Super built-up  Area,2 BHK,1125.0,2.0,2.0,65.0
6193,Super built-up  Area,3 BHK,1191.0,2.0,1.0,55.38
6194,Super built-up  Area,2 BHK,1200.0,2.0,2.0,79.0
6195,Super built-up  Area,3 BHK,1525.0,2.0,3.0,67.0
6196,Super built-up  Area,3 BHK,1464.0,3.0,3.0,56.0
6197,Super built-up  Area,2 BHK,920.0,2.0,1.0,27.0
6198,Built-up  Area,1 BHK,651.0,1.0,1.0,17.5
6199,Super built-up  Area,2 BHK,600.0,1.0,2.0,25.0
6200,Super built-up  Area,2 BHK,1185.0,2.0,2.0,44.0
6201,Super built-up  Area,2 BHK,1190.0,2.0,1.0,68.0
6202,Plot  Area,2 BHK,,2.0,0.0,200.0
6203,Super built-up  Area,4 BHK,2856.0,5.0,0.0,158.5
6204,Super built-up  Area,2 BHK,1355.0,2.0,3.0,73.0
6205,Plot  Area,2 BHK,1200.0,1.0,0.0,65.0
6206,Plot  Area,4 BHK,7000.0,4.0,3.0,550.0
6207,Plot  Area,6 BHK,1200.0,4.0,1.0,110.0
6208,Super built-up  Area,1 BHK,500.0,2.0,1.0,24.0
6209,Super built-up  Area,3 BHK,1250.0,3.0,3.0,50.0
6210,Built-up  Area,3 BHK,1480.0,2.0,1.0,58.0
6211,Built-up  Area,4 BHK,3300.0,4.0,2.0,329.0
6212,Super built-up  Area,3 BHK,1583.0,,,70.445
6213,Super built-up  Area,2 BHK,1206.0,2.0,1.0,53.0
6214,Super built-up  Area,2 BHK,1357.0,2.0,1.0,130.0
6215,Built-up  Area,2 BHK,925.0,2.0,1.0,46.5
6216,Super built-up  Area,2 BHK,909.0,2.0,1.0,40.9
6217,Plot  Area,3 BHK,3000.0,5.0,2.0,335.0
6218,Built-up  Area,2 BHK,1100.0,2.0,1.0,55.0
6219,Plot  Area,4 BHK,3000.0,5.0,2.0,815.0
6220,Super built-up  Area,2 BHK,1306.0,2.0,2.0,44.17
6221,Plot  Area,4 BHK,1200.0,4.0,1.0,95.0
6222,Super built-up  Area,1 BHK,610.0,1.0,1.0,39.0
6223,Super built-up  Area,3 BHK,1484.0,2.0,2.0,56.4
6224,Super built-up  Area,2 BHK,1125.0,2.0,1.0,47.0
6225,Super built-up  Area,4 BHK,2882.0,5.0,1.0,158.0
6226,Plot  Area,4 BHK,750.0,4.0,0.0,88.0
6227,Super built-up  Area,3 BHK,2075.0,3.0,1.0,115.0
6228,Built-up  Area,2 BHK,1250.0,2.0,1.0,58.0
6229,Super built-up  Area,2 BHK,1272.0,2.0,2.0,51.5
6230,Plot  Area,4 BHK,1050.0,3.0,2.0,125.0
6231,Super built-up  Area,2 BHK,625.0,2.0,1.0,24.0
6232,Built-up  Area,1 BHK,840.0,2.0,2.0,50.0
6233,Super built-up  Area,4 BHK,2502.0,4.0,2.0,180.0
6234,Super built-up  Area,1 BHK,583.0,1.0,1.0,26.9
6235,Super built-up  Area,2 BHK,900.0,2.0,1.0,27.0
6236,Built-up  Area,3 BHK,2200.0,3.0,1.0,121.0
6237,Super built-up  Area,1 BHK,750.0,1.0,1.0,51.0
6238,Super built-up  Area,3 BHK,1600.0,3.0,3.0,58.0
6239,Super built-up  Area,3 BHK,1365.0,2.0,2.0,49.0
6240,Built-up  Area,3 BHK,1300.0,3.0,2.0,64.0
6241,Built-up  Area,1 BHK,1200.0,1.0,0.0,69.0
6242,Super built-up  Area,2 BHK,1260.0,2.0,2.0,35.0
6243,Super built-up  Area,2 BHK,1190.0,2.0,2.0,33.92
6244,Super built-up  Area,3 BHK,2480.0,4.0,1.0,260.0
6245,Super built-up  Area,3 BHK,1250.0,3.0,2.0,38.0
6246,Built-up  Area,3 BHK,1500.0,3.0,0.0,75.0
6247,Super built-up  Area,3 BHK,1510.0,3.0,3.0,47.57
6248,Super built-up  Area,2 BHK,1187.0,2.0,1.0,59.0
6249,Super built-up  Area,2 BHK,1120.0,2.0,1.0,53.76
6250,Super built-up  Area,2 BHK,1115.0,2.0,0.0,34.555
6251,Super built-up  Area,3 BHK,1717.0,3.0,3.0,99.0
6252,Built-up  Area,3 BHK,2099.0,3.0,,95.0
6253,Super built-up  Area,2 BHK,1100.0,2.0,2.0,58.0
6254,Plot  Area,1 BHK,1200.0,1.0,0.0,48.0
6255,Built-up  Area,3 BHK,1465.0,2.0,1.0,45.87
6256,Plot  Area,1 BHK,1500.0,1.0,0.0,75.0
6257,Plot  Area,5 BHK,4050.0,4.0,1.0,600.0
6258,Super built-up  Area,3 BHK,1255.0,2.0,1.0,90.0
6259,Super built-up  Area,2 BHK,1220.0,2.0,3.0,88.0
6260,Built-up  Area,2 BHK,1065.0,2.0,1.0,30.88
6261,Built-up  Area,3 BHK,1765.0,3.0,3.0,80.0
6262,Super built-up  Area,2 BHK,1281.0,2.0,2.0,87.0
6263,Super built-up  Area,2 BHK,1210.0,2.0,2.0,25.0
6264,Carpet  Area,2 BHK,1215.0,2.0,3.0,43.0
6265,Plot  Area,4 BHK,1200.0,3.0,1.0,87.0
6266,Super built-up  Area,2 BHK,1237.0,2.0,2.0,73.0
6267,Super built-up  Area,2 BHK,1300.0,2.0,1.0,70.0
6268,Super built-up  Area,2 BHK,1105.0,2.0,2.0,39.99
6269,Super built-up  Area,3 BHK,1505.0,2.0,2.0,42.0
6270,Super built-up  Area,4 BHK,3900.0,5.0,,310.0
6271,Built-up  Area,2 BHK,1186.0,2.0,3.0,65.0
6272,Plot  Area,4 BHK,900.0,3.0,1.0,51.0
6273,Super built-up  Area,2 BHK,750.0,2.0,1.0,35.5
6274,Built-up  Area,2 BHK,1083.0,2.0,2.0,28.0
6275,Built-up  Area,3 BHK,1430.0,2.0,1.0,78.65
6276,Super built-up  Area,2 BHK,1056.0,2.0,2.0,68.0
6277,Super built-up  Area,3 BHK,2108.0,3.0,3.0,85.0
6278,Super built-up  Area,3 BHK,1650.0,3.0,2.0,101.0
6279,Built-up  Area,3 BHK,1220.0,3.0,1.0,36.6
6280,Super built-up  Area,2 BHK,1198.0,2.0,1.0,54.0
6281,Super built-up  Area,2 BHK,1190.0,2.0,1.0,70.0
6282,Built-up  Area,2 BHK,900.0,2.0,1.0,41.0
6283,Super built-up  Area,4 BHK,2690.0,4.0,2.0,185.0
6284,Built-up  Area,2 BHK,1340.0,2.0,2.0,65.0
6285,Plot  Area,4 BHK,2940.0,3.0,2.0,2250.0
6286,Plot  Area,6 BHK,2400.0,6.0,1.0,400.0
6287,Plot  Area,,2324.0,,,26.73
6288,Super built-up  Area,2 BHK,1260.0,2.0,2.0,59.2
6289,Super built-up  Area,3 BHK,2254.0,3.0,2.0,153.0
6290,Super built-up  Area,3 BHK,2990.0,5.0,1.0,210.0
6291,Built-up  Area,4 BHK,1800.0,5.0,1.0,250.0
6292,Built-up  Area,2 BHK,820.0,2.0,1.0,45.0
6293,Super built-up  Area,2 BHK,1296.0,2.0,2.0,65.0
6294,Super built-up  Area,2 BHK,1190.0,2.0,1.0,53.55
6295,Super built-up  Area,2 BHK,1173.0,2.0,1.0,77.0
6296,Plot  Area,3 BHK,1800.0,3.0,2.0,90.0
6297,Built-up  Area,2 BHK,1102.0,2.0,0.0,52.0
6298,Super built-up  Area,2 BHK,913.0,2.0,1.0,36.0
6299,Super built-up  Area,3 BHK,1176.0,2.0,1.0,35.27
6300,Built-up  Area,3 BHK,1620.0,3.0,,65.0
6301,Super built-up  Area,3 BHK,2968.0,3.0,,225.0
6302,Super built-up  Area,2 BHK,1519.0,2.0,3.0,65.0
6303,Super built-up  Area,3 BHK,1594.0,3.0,2.0,99.0
6304,Super built-up  Area,2 BHK,1250.0,2.0,1.0,68.0
6305,Super built-up  Area,2 BHK,1056.0,2.0,1.0,60.0
6306,Plot  Area,3 BHK,1200.0,3.0,1.0,68.4
6307,Plot  Area,2 BHK,1290.0,1.0,0.0,77.5
6308,Built-up  Area,2 BHK,1150.0,2.0,1.0,48.0
6309,Super built-up  Area,2 BHK,1464.0,2.0,1.0,145.0
6310,Plot  Area,4 BHK,1200.0,2.0,1.0,36.0
6311,Built-up  Area,2 BHK,861.0,2.0,0.0,36.5
6312,Super built-up  Area,2 BHK,1047.0,2.0,1.0,82.62
6313,Plot  Area,2 BHK,1200.0,2.0,0.0,75.0
6314,Plot  Area,10 BHK,1200.0,10.0,,190.0
6315,Built-up  Area,2 BHK,1065.0,2.0,1.0,45.0
6316,Built-up  Area,3 BHK,2300.0,3.0,3.0,369.0
6317,Super built-up  Area,2 BHK,1000.0,2.0,1.0,62.0
6318,Super built-up  Area,3 BHK,1682.0,3.0,1.0,113.0
6319,Super built-up  Area,3 BHK,1756.0,3.0,2.0,131.0
6320,Plot  Area,5 BHK,4000.0,4.0,2.0,1000.0
6321,Super built-up  Area,4 BHK,1050.0,4.0,2.0,90.0
6322,Super built-up  Area,2 BHK,1238.0,2.0,1.0,67.32
6323,Super built-up  Area,2 BHK,814.0,2.0,1.0,42.0
6324,Built-up  Area,2 BHK,1145.0,2.0,1.0,46.5
6325,Super built-up  Area,2 BHK,965.0,2.0,1.0,34.0
6326,Super built-up  Area,2 BHK,750.0,2.0,1.0,36.0
6327,Built-up  Area,3 BHK,1300.0,2.0,2.0,55.0
6328,Super built-up  Area,3 BHK,1590.0,3.0,3.0,131.0
6329,Super built-up  Area,1 BHK,644.0,1.0,1.0,40.0
6330,Super built-up  Area,2 BHK,982.0,2.0,1.0,37.0
6331,Super built-up  Area,2 BHK,1260.0,2.0,2.0,100.0
6332,Super built-up  Area,3 BHK,1555.0,3.0,2.0,75.17
6333,Built-up  Area,4 BHK,2500.0,4.0,1.0,450.0
6334,Super built-up  Area,2 BHK,1225.0,2.0,2.0,48.0
6335,Super built-up  Area,2 BHK,1085.0,2.0,1.0,46.0
6336,Super built-up  Area,3 BHK,1640.0,3.0,2.0,220.0
6337,Built-up  Area,3 BHK,1595.0,3.0,1.0,110.0
6338,Super built-up  Area,2 BHK,1196.0,2.0,2.0,40.44
6339,Super built-up  Area,3 BHK,1859.0,3.0,1.0,108.0
6340,Super built-up  Area,2 BHK,1079.0,2.0,1.0,60.0
6341,Built-up  Area,2 BHK,550.0,1.0,1.0,27.0
6342,Super built-up  Area,2 BHK,1118.0,2.0,1.0,42.0
6343,Super built-up  Area,2 BHK,1198.0,2.0,2.0,60.0
6344,Super built-up  Area,3 BHK,1162.5,,,30.215
6345,Super built-up  Area,3 BHK,1830.0,4.0,2.0,135.0
6346,Super built-up  Area,2 BHK,1160.0,2.0,1.0,59.0
6347,Super built-up  Area,3 BHK,1485.0,2.0,1.0,156.0
6348,Super built-up  Area,3 BHK,2070.0,3.0,3.0,135.0
6349,Plot  Area,6 BHK,750.0,4.0,1.0,150.0
6350,Built-up  Area,2 BHK,957.0,2.0,0.0,52.5
6351,Plot  Area,5 BHK,2400.0,4.0,1.0,310.0
6352,Super built-up  Area,2 BHK,1268.0,2.0,1.0,69.0
6353,Super built-up  Area,3 BHK,1450.0,2.0,2.0,87.0
6354,Built-up  Area,3 BHK,1600.0,2.0,2.0,75.0
6355,Super built-up  Area,3 BHK,1330.0,2.0,1.0,57.0
6356,Super built-up  Area,3 BHK,1355.0,2.0,2.0,65.0
6357,Super built-up  Area,2 BHK,1100.0,2.0,1.0,38.49
6358,Super built-up  Area,2 BHK,1075.0,2.0,1.0,46.76
6359,Super built-up  Area,2 BHK,800.0,2.0,1.0,55.0
6360,Built-up  Area,2 BHK,900.0,1.0,1.0,44.0
6361,Super built-up  Area,2 BHK,1140.0,2.0,1.0,42.0
6362,Super built-up  Area,3 BHK,1480.0,2.0,2.0,125.0
6363,Super built-up  Area,3 BHK,1710.0,2.0,2.0,90.63
6364,Super built-up  Area,3 BHK,2106.0,3.0,3.0,148.0
6365,Plot  Area,9 BHK,2400.0,6.0,,270.0
6366,Plot  Area,3 BHK,3800.0,2.0,,130.0
6367,Plot  Area,3 BHK,800.0,3.0,2.0,120.0
6368,Super built-up  Area,2 BHK,1602.0,2.0,,104.0
6369,Super built-up  Area,3 BHK,1660.0,2.0,2.0,116.0
6370,Super built-up  Area,3 BHK,1549.0,3.0,2.0,80.0
6371,Super built-up  Area,1 BHK,700.0,1.0,1.0,38.0
6372,Super built-up  Area,2 BHK,1012.0,2.0,1.0,64.0
6373,Super built-up  Area,2 BHK,1216.0,2.0,1.0,69.0
6374,Super built-up  Area,2 BHK,1065.0,2.0,1.0,56.13
6375,Super built-up  Area,3 BHK,1411.0,3.0,1.0,93.15
6376,Super built-up  Area,2 BHK,1400.0,2.0,2.0,57.5
6377,Super built-up  Area,3 BHK,1250.0,3.0,2.0,29.0
6378,Super built-up  Area,2 BHK,1245.0,2.0,3.0,62.0
6379,Super built-up  Area,2 BHK,1115.0,2.0,1.0,50.0
6380,Super built-up  Area,2 BHK,1000.0,2.0,1.0,35.0
6381,Super built-up  Area,3 BHK,1580.0,3.0,0.0,71.89
6382,Super built-up  Area,3 BHK,1800.0,3.0,2.0,90.0
6383,Super built-up  Area,2 BHK,1500.0,2.0,2.0,130.0
6384,Super built-up  Area,3 BHK,1275.0,3.0,2.0,44.0
6385,Super built-up  Area,3 BHK,1494.0,3.0,2.0,82.0
6386,Super built-up  Area,3 BHK,1949.0,3.0,2.0,129.0
6387,Super built-up  Area,2 BHK,1020.0,2.0,1.0,46.5
6388,Super built-up  Area,2 BHK,883.0,2.0,1.0,45.0
6389,Built-up  Area,4 BHK,3200.0,4.0,,280.0
6390,Plot  Area,6 BHK,1680.0,6.0,1.0,125.0
6391,Plot  Area,12 BHK,2232.0,6.0,2.0,300.0
6392,Super built-up  Area,3 BHK,2010.0,3.0,3.0,125.0
6393,Super built-up  Area,2 BHK,1240.0,2.0,2.0,80.0
6394,Super built-up  Area,2 BHK,1213.0,2.0,1.0,63.0
6395,Super built-up  Area,3 BHK,1835.0,3.0,3.0,88.0
6396,Plot  Area,9 BHK,1800.0,10.0,3.0,185.0
6397,Super built-up  Area,4 BHK,2932.0,5.0,,195.0
6398,Built-up  Area,4 BHK,3425.0,5.0,2.0,250.0
6399,Built-up  Area,2 BHK,945.0,2.0,0.0,45.0
6400,Super built-up  Area,3 BHK,1504.0,2.0,2.0,100.0
6401,Super built-up  Area,3 BHK,1569.0,3.0,2.0,150.0
6402,Super built-up  Area,3 BHK,1755.0,3.0,2.0,130.0
6403,Super built-up  Area,3 BHK,1760.0,3.0,,140.0
6404,Super built-up  Area,2 BHK,1240.0,2.0,3.0,43.94
6405,Super built-up  Area,3 BHK,1450.0,3.0,2.0,72.54
6406,Super built-up  Area,2 BHK,1000.0,2.0,0.0,48.0
6407,Plot  Area,1 BHK,3820.0,1.0,1.0,306.0
6408,Super built-up  Area,5 BHK,2000.0,4.0,2.0,145.0
6409,Super built-up  Area,2 BHK,1215.0,2.0,2.0,59.0
6410,Plot  Area,5 BHK,,6.0,2.0,550.0
6411,Super built-up  Area,3 BHK,1330.0,3.0,3.0,73.5
6412,Super built-up  Area,2 BHK,1178.0,2.0,1.0,75.0
6413,Plot  Area,4 BHK,1500.0,4.0,3.0,192.0
6414,Super built-up  Area,2 BHK,2040.0,2.0,2.0,59.0
6415,Super built-up  Area,3 BHK,2000.0,3.0,2.0,85.0
6416,Super built-up  Area,3 BHK,1602.0,2.0,1.0,165.0
6417,Plot  Area,4 BHK,1200.0,4.0,1.0,130.0
6418,Built-up  Area,3 BHK,1800.0,3.0,1.0,220.0
6419,Plot  Area,3 BHK,2400.0,2.0,1.0,152.0
6420,Super built-up  Area,3 BHK,1700.0,3.0,3.0,108.0
6421,Built-up  Area,3 BHK,1200.0,3.0,2.0,65.0
6422,Plot  Area,3 BHK,1500.0,3.0,0.0,72.0
6423,Plot  Area,3 BHK,1240.0,3.0,2.0,165.0
6424,Built-up  Area,3 BHK,3000.0,3.0,2.0,400.0
6425,Built-up  Area,3 BHK,1737.0,3.0,3.0,85.0
6426,Built-up  Area,3 BHK,1280.0,2.0,1.0,48.0
6427,Super built-up  Area,2 BHK,1560.0,2.0,2.0,85.0
6428,Super built-up  Area,2 BHK,883.0,2.0,1.0,44.0
6429,Super built-up  Area,2 BHK,750.0,2.0,1.0,33.0
6430,Super built-up  Area,4 BHK,2400.0,3.0,3.0,140.0
6431,Super built-up  Area,2 BHK,900.0,2.0,1.0,45.0
6432,Super built-up  Area,2 BHK,1030.0,2.0,1.0,49.35
6433,Super built-up  Area,3 BHK,1850.0,3.0,2.0,155.0
6434,Built-up  Area,3 BHK,1831.0,3.0,1.0,110.0
6435,Super built-up  Area,2 BHK,1095.0,2.0,1.0,38.33
6436,Built-up  Area,3 BHK,1320.0,2.0,1.0,38.13
6437,Super built-up  Area,3 BHK,1272.5,2.0,0.0,40.72
6438,Built-up  Area,2 BHK,1000.0,2.0,1.0,61.0
6439,Super built-up  Area,3 BHK,1820.0,3.0,2.0,85.4
6440,Super built-up  Area,3 BHK,1075.0,2.0,1.0,41.0
6441,Plot  Area,3 BHK,1500.0,3.0,0.0,83.0
6442,Super built-up  Area,1 RK,360.0,1.0,0.0,16.9
6443,Super built-up  Area,1 BHK,925.0,1.0,0.0,40.7
6444,Super built-up  Area,2 BHK,1140.0,2.0,1.0,70.93
6445,Super built-up  Area,2 BHK,1145.0,2.0,2.0,58.4
6446,Super built-up  Area,3 BHK,1862.0,3.0,3.0,120.0
6447,Super built-up  Area,2 BHK,947.0,2.0,2.0,43.0
6448,Built-up  Area,4 BHK,,4.0,2.0,211.0
6449,Plot  Area,3 BHK,700.0,3.0,2.0,195.0
6450,Super built-up  Area,2 BHK,1120.0,2.0,2.0,40.0
6451,Built-up  Area,3 BHK,2700.0,3.0,3.0,200.0
6452,Super built-up  Area,3 BHK,1805.0,2.0,2.0,75.0
6453,Super built-up  Area,2 BHK,1100.0,2.0,3.0,93.0
6454,Plot  Area,4 BHK,1355.0,3.0,0.0,135.0
6455,Built-up  Area,3 BHK,1677.0,3.0,2.0,98.0
6456,Built-up  Area,8 BHK,2500.0,8.0,3.0,95.0
6457,Super built-up  Area,3 BHK,1560.0,3.0,3.0,74.0
6458,Super built-up  Area,3 BHK,2060.0,3.0,2.0,150.0
6459,Super built-up  Area,3 BHK,1716.0,2.0,0.0,115.0
6460,Super built-up  Area,3 BHK,1864.0,3.0,1.0,140.0
6461,Built-up  Area,1 BHK,638.0,1.0,1.0,32.0
6462,Plot  Area,9 BHK,1200.0,7.0,3.0,95.0
6463,Super built-up  Area,8 BHK,1150.0,9.0,,170.0
6464,Super built-up  Area,2 BHK,937.0,2.0,1.0,30.0
6465,Built-up  Area,3 BHK,1490.0,2.0,1.0,115.0
6466,Super built-up  Area,4 BHK,4856.0,5.0,3.0,410.0
6467,Plot  Area,4 BHK,4003.0,6.0,1.0,525.0
6468,Super built-up  Area,2 BHK,1100.0,2.0,1.0,37.0
6469,Super built-up  Area,2 BHK,1000.0,2.0,2.0,48.53
6470,Super built-up  Area,2 BHK,1060.0,2.0,1.0,37.0
6471,Super built-up  Area,2 BHK,1047.0,2.0,1.0,91.0
6472,Built-up  Area,2 BHK,1200.0,2.0,2.0,80.0
6473,Super built-up  Area,3 BHK,1420.0,2.0,2.0,75.0
6474,Super built-up  Area,3 BHK,1539.0,3.0,,85.0
6475,Super built-up  Area,3 BHK,1550.0,3.0,1.0,59.0
6476,Super built-up  Area,3 BHK,1555.0,3.0,3.0,82.0
6477,Plot  Area,7 BHK,600.0,6.0,2.0,138.0
6478,Super built-up  Area,3 BHK,1553.0,3.0,3.0,68.0
6479,Super built-up  Area,2 BHK,920.0,2.0,2.0,26.0
6480,Super built-up  Area,3 BHK,1740.0,3.0,3.0,120.0
6481,Super built-up  Area,3 BHK,1855.0,3.0,2.0,145.0
6482,Super built-up  Area,3 BHK,1724.0,3.0,1.0,146.0
6483,Super built-up  Area,2 BHK,1020.0,2.0,2.0,60.0
6484,Plot  Area,6 BHK,1000.0,4.0,2.0,150.0
6485,Super built-up  Area,3 BHK,1250.0,2.0,1.0,50.0
6486,Super built-up  Area,3 BHK,1450.0,3.0,2.0,75.0
6487,Super built-up  Area,2 BHK,1200.0,2.0,2.0,80.0
6488,Built-up  Area,2 BHK,1140.0,2.0,2.0,58.0
6489,Plot  Area,5 BHK,900.0,5.0,2.0,110.0
6490,Super built-up  Area,1 BHK,550.0,1.0,1.0,16.0
6491,Super built-up  Area,3 BHK,1450.0,3.0,1.0,44.0
6492,Plot  Area,,1500.0,,,25.49
6493,Super built-up  Area,2 BHK,700.0,2.0,1.0,35.07
6494,Plot  Area,3 BHK,1200.0,3.0,1.0,56.0
6495,Super built-up  Area,2 BHK,1050.0,2.0,1.0,45.0
6496,Super built-up  Area,3 BHK,1600.0,3.0,3.0,69.0
6497,Super built-up  Area,3 BHK,1625.0,2.0,3.0,75.0
6498,Super built-up  Area,2 BHK,1492.0,2.0,2.0,65.0
6499,Super built-up  Area,4 BHK,2856.0,5.0,0.0,157.5
6500,Super built-up  Area,3 BHK,1489.0,2.0,3.0,82.0
6501,Super built-up  Area,3 BHK,1560.0,2.0,2.0,62.38
6502,Super built-up  Area,2 BHK,1140.0,2.0,2.0,42.0
6503,Super built-up  Area,3 BHK,1431.0,3.0,2.0,65.0
6504,Super built-up  Area,3 BHK,1682.0,3.0,1.0,114.0
6505,Super built-up  Area,2 BHK,1198.0,2.0,1.0,86.26
6506,Plot  Area,3 BHK,3664.0,3.0,2.0,325.0
6507,Super built-up  Area,3 BHK,1550.0,2.0,2.0,69.75
6508,Super built-up  Area,2 BHK,1026.0,2.0,1.0,45.0
6509,Built-up  Area,3 BHK,1260.0,2.0,2.0,52.0
6510,Plot  Area,2 BHK,690.0,2.0,0.0,42.0
6511,Super built-up  Area,1 BHK,539.0,1.0,1.0,45.0
6512,Built-up  Area,4 BHK,1200.0,4.0,1.0,85.0
6513,Built-up  Area,3 BHK,2400.0,3.0,3.0,120.0
6514,Super built-up  Area,2 BHK,1200.0,2.0,2.0,79.55
6515,Plot  Area,4 BHK,2500.0,5.0,2.0,350.0
6516,Super built-up  Area,3 BHK,1186.0,2.0,2.0,40.0
6517,Super built-up  Area,2 BHK,1039.0,2.0,2.0,39.5
6518,Plot  Area,4 BHK,1500.0,5.0,3.0,233.0
6519,Plot  Area,5 BHK,1500.0,4.0,1.0,100.0
6520,Super built-up  Area,3 BHK,2520.0,3.0,2.0,150.0
6521,Built-up  Area,2 BHK,1225.0,2.0,2.0,66.5
6522,Built-up  Area,2 BHK,1350.0,2.0,2.0,72.0
6523,Super built-up  Area,2 BHK,1030.0,2.0,2.0,300.0
6524,Built-up  Area,3 BHK,1550.0,2.0,2.0,49.6
6525,Super built-up  Area,3 BHK,1490.0,3.0,2.0,79.0
6526,Super built-up  Area,3 BHK,1520.0,3.0,2.0,111.0
6527,Plot  Area,4 BHK,4100.0,4.0,,550.0
6528,Built-up  Area,3 BHK,1391.0,2.0,3.0,64.5
6529,Super built-up  Area,2 BHK,1200.0,2.0,2.0,50.0
6530,Plot  Area,4 BHK,1200.0,4.0,2.0,86.0
6531,Plot  Area,5 BHK,2500.0,6.0,3.0,500.0
6532,Super built-up  Area,2 BHK,1322.0,2.0,2.0,80.0
6533,Super built-up  Area,3 BHK,2173.0,3.0,2.0,128.0
6534,Super built-up  Area,2 BHK,1200.0,2.0,2.0,75.0
6535,Super built-up  Area,2 BHK,1200.0,2.0,2.0,47.0
6536,Super built-up  Area,2 BHK,1170.0,2.0,2.0,65.0
6537,Super built-up  Area,2 BHK,1125.0,2.0,2.0,45.56
6538,Super built-up  Area,1 BHK,698.5,1.0,0.0,28.57
6539,Super built-up  Area,2 BHK,1250.0,2.0,2.0,90.0
6540,Super built-up  Area,2 BHK,1025.0,2.0,2.0,27.68
6541,Super built-up  Area,3 BHK,1075.0,2.0,2.0,36.0
6542,Super built-up  Area,3 BHK,1900.0,2.0,2.0,190.0
6543,Built-up  Area,3 BHK,1435.0,3.0,2.0,45.0
6544,Super built-up  Area,2 BHK,1175.0,2.0,2.0,64.98
6545,Built-up  Area,2 BHK,900.0,2.0,1.0,33.0
6546,Super built-up  Area,1 BHK,585.0,1.0,1.0,21.0
6547,Plot  Area,4 BHK,3170.0,5.0,2.0,230.0
6548,Super built-up  Area,3 BHK,1602.0,2.0,1.0,170.0
6549,Super built-up  Area,2 BHK,1220.0,2.0,2.0,42.0
6550,Super built-up  Area,3 BHK,2500.0,3.0,3.0,350.0
6551,Super built-up  Area,3 BHK,2145.0,3.0,3.0,180.0
6552,Super built-up  Area,2 BHK,960.0,2.0,3.0,58.0
6553,Super built-up  Area,1 BHK,907.0,1.0,1.0,38.0
6554,Super built-up  Area,2 BHK,1210.0,2.0,1.0,74.0
6555,Plot  Area,4 BHK,900.0,4.0,1.0,150.0
6556,Super built-up  Area,2 BHK,1230.0,2.0,2.0,70.0
6557,Super built-up  Area,3 BHK,1350.0,2.0,1.0,75.0
6558,Super built-up  Area,2 BHK,1150.0,2.0,2.0,58.0
6559,Super built-up  Area,3 BHK,1404.0,2.0,0.0,53.35
6560,Super built-up  Area,2 BHK,1050.0,2.0,3.0,48.0
6561,Plot  Area,8 BHK,1020.0,10.0,0.0,155.0
6562,Super built-up  Area,2 BHK,1285.0,2.0,2.0,56.0
6563,Super built-up  Area,2 BHK,1018.0,2.0,1.0,50.8
6564,Plot  Area,3 BHK,1200.0,3.0,2.0,57.0
6565,Super built-up  Area,3 BHK,1600.0,3.0,3.0,95.0
6566,Super built-up  Area,2 BHK,1480.0,2.0,1.0,80.0
6567,Built-up  Area,5 BHK,2500.0,7.0,0.0,125.0
6568,Built-up  Area,1 BHK,480.0,1.0,1.0,25.0
6569,Super built-up  Area,3 BHK,1435.0,3.0,3.0,53.0
6570,Built-up  Area,1 BHK,450.0,1.0,2.0,60.0
6571,Super built-up  Area,1 BHK,600.0,2.0,0.0,23.0
6572,Super built-up  Area,3 BHK,1590.0,2.0,3.0,85.0
6573,Plot  Area,,1730.0,,,28.545
6574,Built-up  Area,2 BHK,936.0,2.0,0.0,40.2
6575,Super built-up  Area,2 BHK,1181.0,2.0,1.0,75.0
6576,Super built-up  Area,3 BHK,1741.0,3.0,2.0,80.0
6577,Super built-up  Area,3 BHK,1750.0,3.0,1.0,123.0
6578,Super built-up  Area,2 BHK,1050.0,2.0,2.0,42.7
6579,Super built-up  Area,2 BHK,1027.0,2.0,1.0,60.0
6580,Built-up  Area,2 BHK,596.0,2.0,1.0,22.0
6581,Built-up  Area,4 BHK,3463.0,6.0,0.0,310.0
